"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
339,"did vote",NA,3,NA,3,2
340,"did vote",3,3,3,3,3
341,"did vote",1,1,1,2,3
343,"did vote",5,2,2,3,2
344,"did not vote",2,2,3,3,3
345,"did vote",2,2,3,3,2
346,"did vote",1,1,2,2,5
347,"did vote",1,1,1,2,5
349,"did vote",2,2,1,2,5
350,"did vote",1,1,2,2,4
351,"did vote",1,2,1,1,2
352,"did vote",3,2,1,2,5
353,"did vote",1,1,1,2,3
354,"did vote",1,1,1,2,2
355,"did vote",2,2,2,2,3
356,"did vote",4,1,1,3,4
357,"did vote",1,1,3,2,2
358,"did vote",1,1,1,2,4
359,"did vote",1,1,1,1,3
360,"did vote",2,1,1,1,5
361,"did vote",1,1,1,3,2
362,"did vote",2,2,1,2,4
364,"did vote",4,1,1,2,3
365,"did vote",1,1,1,2,4
366,"did vote",1,2,3,3,2
367,"did vote",1,1,3,1,5
368,"did vote",3,2,2,2,3
369,NA,1,1,3,2,2
370,"did vote",2,1,1,2,4
371,"did vote",2,3,2,2,2
372,"did vote",2,2,2,4,3
373,"did vote",3,2,2,2,4
374,"did vote",2,2,1,2,2
375,"did vote",3,2,2,2,3
377,"did vote",1,1,2,2,5
379,"did vote",2,2,2,2,4
380,"did vote",1,1,1,2,3
381,"did vote",2,2,1,2,4
382,"did vote",3,2,1,2,4
383,"did vote",3,2,1,2,4
384,"did vote",3,2,2,2,3
387,"did vote",2,2,1,4,3
388,"did vote",2,1,1,2,2
389,"did vote",2,2,2,2,3
390,"did vote",2,NA,NA,3,2
392,"did vote",2,3,5,4,2
393,"did vote",1,1,1,3,1
396,"did vote",1,1,1,2,4
397,"did vote",1,1,1,1,5
398,"did vote",2,2,2,3,3
399,"did vote",1,1,1,2,3
400,"did vote",1,1,1,2,4
401,"did vote",1,1,1,2,5
402,"did vote",2,1,2,1,4
403,"did vote",4,1,2,1,5
404,"did vote",2,2,4,5,2
406,"did vote",1,2,4,2,2
407,"did vote",1,1,1,2,4
408,"did vote",1,1,1,3,4
409,"did not vote",3,3,2,3,2
410,"did vote",1,1,1,1,3
411,"did vote",5,3,3,1,5
412,"did vote",3,1,1,1,4
413,"did vote",1,1,1,2,4
414,"did vote",4,2,1,2,4
415,"did vote",2,2,1,3,1
416,"did vote",1,1,1,3,1
417,"did vote",1,1,1,1,5
418,"did vote",2,2,3,2,2
419,"did vote",2,3,2,2,5
420,"did vote",2,1,1,5,2
421,"did vote",2,2,2,4,2
422,"did vote",1,2,1,1,4
423,"did not vote",2,2,1,3,3
424,"did vote",2,3,3,2,NA
425,"did vote",3,2,1,3,3
426,"did vote",2,1,2,3,3
427,"did vote",2,2,2,2,3
428,"did vote",3,1,1,1,4
429,"did vote",2,1,1,1,5
430,"did vote",1,1,1,2,5
431,"did vote",1,1,1,2,5
432,"did vote",2,2,4,2,5
433,"did vote",1,1,1,2,3
435,"did vote",4,1,1,2,2
436,"did vote",1,1,1,2,3
437,"did vote",1,1,1,1,3
438,"did vote",1,NA,NA,2,3
439,"did vote",1,1,1,2,5
440,"did vote",3,1,2,2,2
441,"did vote",2,1,1,1,5
442,"did vote",2,1,2,3,3
443,"did vote",4,2,4,2,5
445,"did vote",3,1,3,3,4
446,"did vote",2,2,2,3,3
447,"did vote",3,4,2,3,2
448,"did vote",1,1,1,2,5
449,"did vote",2,1,1,2,5
450,"did vote",2,2,2,3,3
451,"did vote",1,1,1,2,3
452,"did vote",1,1,1,1,5
453,"did vote",5,3,2,2,5
454,"did vote",1,1,1,1,5
455,"did vote",4,3,4,3,2
456,"did vote",2,4,2,2,2
457,"did vote",1,2,2,3,1
458,"did vote",2,2,2,2,5
459,"did vote",1,1,1,2,3
460,"did vote",3,2,1,3,3
461,"did vote",4,2,1,1,5
462,"did vote",2,2,3,3,3
463,"did vote",1,1,1,2,3
464,"did vote",1,1,1,4,3
465,"did vote",4,2,1,3,5
466,"did vote",1,1,2,2,5
467,"did vote",2,2,1,3,3
468,"did vote",1,1,1,1,4
469,"did vote",4,3,2,2,3
470,"did vote",2,2,1,3,2
471,"did vote",1,2,1,3,4
472,NA,2,2,2,2,5
473,"did vote",2,2,2,2,1
474,"did vote",1,1,1,2,3
475,"did vote",2,2,2,3,3
476,"did vote",1,1,4,4,5
478,"did vote",1,1,1,3,3
479,"did vote",5,5,4,4,1
480,"did not vote",1,2,1,2,5
481,"did vote",1,1,1,2,1
482,"did vote",1,1,1,3,2
483,"did vote",3,1,1,1,5
484,"did vote",2,3,4,2,4
485,"did vote",2,1,1,2,4
486,"did vote",2,1,1,2,2
487,"did vote",1,1,1,2,3
488,"did vote",2,1,1,2,2
489,"did vote",2,2,1,3,5
490,"did vote",1,1,1,3,2
491,"did vote",2,1,1,2,3
492,"did vote",2,2,3,2,2
493,"did vote",1,1,1,2,4
494,"did vote",2,1,1,2,2
495,"did vote",2,4,3,4,2
497,"did vote",1,2,1,2,3
498,"did vote",2,2,1,2,3
499,"did vote",3,2,1,2,3
500,"did vote",1,1,1,2,3
502,"did vote",1,1,4,2,3
503,"did vote",4,4,4,2,3
504,"did vote",4,2,2,2,2
505,"did vote",2,1,1,2,NA
506,"did vote",1,2,NA,2,2
507,"did vote",1,1,1,2,3
508,"did vote",2,1,1,2,3
509,"did vote",3,1,4,2,1
510,"did vote",2,2,1,3,2
512,"did vote",1,1,1,3,1
513,"did vote",1,1,1,2,2
514,"did vote",1,1,1,2,3
515,"did vote",2,1,1,1,3
517,"did vote",1,1,1,1,2
518,"did vote",1,1,1,2,2
519,"did vote",1,1,1,2,3
525,"did vote",5,4,2,2,1
526,"did vote",4,1,3,2,5
527,"did vote",2,1,1,2,3
529,"did vote",1,1,1,2,2
530,"did vote",4,2,3,4,1
531,"did vote",1,1,2,2,1
532,"did not vote",3,2,2,2,3
534,"did vote",1,1,1,2,3
535,"did vote",2,1,1,2,4
536,"did not vote",4,3,3,5,1
537,"did vote",1,1,1,2,1
538,"did vote",1,1,1,3,3
539,"did vote",1,1,1,3,2
540,"did vote",3,1,3,2,2
541,"did vote",2,2,2,2,2
542,"did vote",1,1,1,3,3
543,"did vote",1,1,2,3,2
544,"did not vote",1,3,2,3,3
545,"did vote",3,1,1,2,5
546,NA,1,1,1,2,3
547,"did vote",4,3,4,2,4
548,"did vote",1,1,1,2,5
549,"did vote",3,3,2,2,5
551,"did vote",3,5,5,3,3
552,"did vote",1,2,2,2,4
556,"did vote",2,2,1,1,4
558,"did vote",4,1,1,3,3
559,"did vote",3,1,1,2,3
560,"did vote",1,1,1,2,1
561,"did vote",2,1,1,2,3
562,"did not vote",2,2,2,2,2
563,"did vote",1,2,1,2,3
564,"did vote",2,1,1,3,3
565,"did vote",5,5,5,1,1
566,"did vote",2,2,2,2,3
567,"did vote",2,1,1,2,2
568,"did vote",2,1,1,2,5
569,"did vote",1,1,1,2,3
570,"did vote",2,5,5,2,3
571,"did vote",5,2,4,2,4
572,"did vote",2,3,2,4,2
573,"did vote",1,2,2,2,4
574,"did vote",2,2,1,1,4
575,"did vote",3,3,2,3,2
576,"did vote",1,1,1,2,5
577,"did vote",1,1,5,1,5
579,"did vote",5,4,3,3,2
580,"did vote",5,2,2,1,5
581,"did vote",4,3,4,3,5
582,"did vote",1,1,1,3,2
583,"did vote",1,1,2,2,3
584,"did vote",1,2,1,2,3
585,"did vote",1,2,3,2,2
586,"did vote",1,2,2,3,2
587,"did vote",1,1,1,3,3
588,"did vote",2,1,1,2,3
589,"did vote",NA,1,1,2,2
590,"did vote",1,1,1,2,3
591,"did vote",2,2,2,3,3
592,"did vote",1,1,1,2,4
593,"did vote",2,2,2,2,5
594,"did vote",1,1,1,2,4
595,"did vote",2,2,2,2,5
596,"did vote",2,1,1,2,4
